('Total Revenue', '184,903,000', '168,088,000', '143,015,000', '125,843,000', '110,360,000')
         170645 function calls (169839 primitive calls) in 1.000 seconds

   Ordered by: internal time, call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      722    0.736    0.001    0.736    0.001 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.034    0.034    0.034    0.034 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.029    0.029    0.029    0.029 {method 'connect' of '_socket.socket' objects}
        1    0.017    0.017    0.017    0.017 {method 'set_default_verify_paths' of '_ssl._SSLContext' objects}
     1255    0.013    0.000    0.077    0.000 /usr/local/Cellar/python@3.9/3.9.12/Frameworks/Python.framework/Versions/3.9/lib/python3.9/html/parser.py:300(parse_starttag)
        2    0.012    0.006    0.128    0.064 /usr/local/Cellar/python@3.9/3.9.12/Frameworks/Python.framework/Versions/3.9/lib/python3.9/html/parser.py:133(goahead)
     9405    0.011    0.000    0.011    0.000 {method 'match' of 're.Pattern' objects}
     1256    0.011    0.000    0.026    0.000 /Users/user/Downloads/python_ds_piscine/day03/ex00/ldonita/lib/python3.9/site-packages/bs4/element.py:1180(__init__)
      435    0.006    0.000    0.006    0.000 {built-in method __new__ of type object at 0x10c77c420}
     1255    0.006    0.000    0.038    0.000 /Users/user/Downloads/python_ds_piscine/day03/ex00/ldonita/lib/python3.9/site-packages/bs4/__init__.py:694(handle_starttag)
      950    0.006    0.000    0.011    0.000 /Users/user/Downloads/python_ds_piscine/day03/ex00/ldonita/lib/python3.9/site-packages/bs4/builder/__init__.py:295(_replace_cdata_list_attribute_values)
2402/1648    0.005    0.000    0.011    0.000 /Users/user/Downloads/python_ds_piscine/day03/ex00/ldonita/lib/python3.9/site-packages/bs4/element.py:2192(_matches)
     1188    0.005    0.000    0.027    0.000 /usr/local/Cellar/python@3.9/3.9.12/Frameworks/Python.framework/Versions/3.9/lib/python3.9/html/parser.py:385(parse_endtag)
     1255    0.005    0.000    0.045    0.000 /Users/user/Downloads/python_ds_piscine/day03/ex00/ldonita/lib/python3.9/site-packages/bs4/builder/_htmlparser.py:122(handle_starttag)
    29619    0.005    0.000    0.007    0.000 {built-in method builtins.isinstance}
     1256    0.005    0.000    0.006    0.000 /Users/user/Downloads/python_ds_piscine/day03/ex00/ldonita/lib/python3.9/site-packages/bs4/__init__.py:544(pushTag)
     1780    0.004    0.000    0.018    0.000 /Users/user/Downloads/python_ds_piscine/day03/ex00/ldonita/lib/python3.9/site-packages/bs4/element.py:2096(search_tag)
     1255    0.004    0.000    0.008    0.000 /Users/user/Downloads/python_ds_piscine/day03/ex00/ldonita/lib/python3.9/site-packages/bs4/__init__.py:660(_popToTag)
     2104    0.004    0.000    0.004    0.000 /Users/user/Downloads/python_ds_piscine/day03/ex00/ldonita/lib/python3.9/site-packages/bs4/element.py:157(setup)
      809    0.003    0.000    0.003    0.000 {method 'findall' of 're.Pattern' objects}
     4894    0.003    0.000    0.005    0.000 /usr/local/Cellar/python@3.9/3.9.12/Frameworks/Python.framework/Versions/3.9/lib/python3.9/_markupbase.py:48(updatepos)
     3647    0.003    0.000    0.003    0.000 {method 'search' of 're.Pattern' objects}
        1    0.003    0.003    1.000    1.000 /Users/user/Downloads/python_ds_piscine/day03/ex04/./financial_enhanced.py:71(main)
        1    0.003    0.003    0.003    0.003 {built-in method _socket.getaddrinfo}
     1255    0.003    0.000    0.003    0.000 /Users/user/Downloads/python_ds_piscine/day03/ex00/ldonita/lib/python3.9/site-packages/bs4/__init__.py:530(popTag)
     2349    0.003    0.000    0.022    0.000 /Users/user/Downloads/python_ds_piscine/day03/ex00/ldonita/lib/python3.9/site-packages/bs4/element.py:2159(search)
      122    0.003    0.000    0.193    0.002 {method 'read' of '_io.BufferedReader' objects}
     2515    0.003    0.000    0.010    0.000 /Users/user/Downloads/python_ds_piscine/day03/ex00/ldonita/lib/python3.9/site-packages/bs4/__init__.py:558(endData)
     4504    0.003    0.000    0.003    0.000 {method 'group' of 're.Match' objects}
     5824    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
      424    0.002    0.000    0.004    0.000 /Users/user/Downloads/python_ds_piscine/day03/ex00/ldonita/lib/python3.9/site-packages/bs4/__init__.py:592(object_was_parsed)
     1255    0.002    0.000    0.006    0.000 /usr/local/Cellar/python@3.9/3.9.12/Frameworks/Python.framework/Versions/3.9/lib/python3.9/html/parser.py:351(check_for_whole_start_tag)
     2912    0.002    0.000    0.002    0.000 {method 'count' of 'str' objects}
      722    0.002    0.000    0.740    0.001 /usr/local/Cellar/python@3.9/3.9.12/Frameworks/Python.framework/Versions/3.9/lib/python3.9/ssl.py:1230(recv_into)
      722    0.002    0.000    0.743    0.001 /usr/local/Cellar/python@3.9/3.9.12/Frameworks/Python.framework/Versions/3.9/lib/python3.9/socket.py:690(readinto)
       36    0.002    0.000    0.027    0.001 /Users/user/Downloads/python_ds_piscine/day03/ex00/ldonita/lib/python3.9/site-packages/bs4/element.py:779(_find_all)
     1255    0.002    0.000    0.019    0.000 /Users/user/Downloads/python_ds_piscine/day03/ex00/ldonita/lib/python3.9/site-packages/bs4/__init__.py:735(handle_endtag)
        1    0.002    0.002    0.002    0.002 /Users/user/Downloads/python_ds_piscine/day03/ex00/ldonita/lib/python3.9/site-packages/bs4/dammit.py:677(_to_unicode)
     6043    0.002    0.000    0.002    0.000 {method 'append' of 'list' objects}
     6413    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
      722    0.001    0.000    0.737    0.001 /usr/local/Cellar/python@3.9/3.9.12/Frameworks/Python.framework/Versions/3.9/lib/python3.9/ssl.py:1090(read)
     3735    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
     5589    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
     1255    0.001    0.000    0.020    0.000 /Users/user/Downloads/python_ds_piscine/day03/ex00/ldonita/lib/python3.9/site-packages/bs4/builder/_htmlparser.py:177(handle_endtag)
     2346    0.001    0.000    0.002    0.000 /Users/user/Downloads/python_ds_piscine/day03/ex00/ldonita/lib/python3.9/site-packages/bs4/element.py:2059(_normalize_search_value)
     3635    0.001    0.000    0.002    0.000 /usr/local/Cellar/python@3.9/3.9.12/Frameworks/Python.framework/Versions/3.9/lib/python3.9/abc.py:117(__instancecheck__)
     3635    0.001    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
     1255    0.001    0.000    0.001    0.000 /Users/user/Downloads/python_ds_piscine/day03/ex00/ldonita/lib/python3.9/site-packages/bs4/element.py:1317(is_empty_element)
     3107    0.001    0.000    0.001    0.000 /Users/user/Downloads/python_ds_piscine/day03/ex00/ldonita/lib/python3.9/site-packages/bs4/element.py:1906(descendants)
      122    0.001    0.000    0.194    0.002 /usr/local/Cellar/python@3.9/3.9.12/Frameworks/Python.framework/Versions/3.9/lib/python3.9/http/client.py:610(_safe_read)
     5673    0.001    0.000    0.001    0.000 {method 'end' of 're.Match' objects}
      424    0.001    0.000    0.003    0.000 /Users/user/Downloads/python_ds_piscine/day03/ex00/ldonita/lib/python3.9/site-packages/bs4/element.py:934(__new__)
3674/3664    0.001    0.000    0.001    0.000 {built-in method builtins.len}
     5738    0.001    0.000    0.001    0.000 /Users/user/Downloads/python_ds_piscine/day03/ex00/ldonita/lib/python3.9/site-packages/bs4/element.py:1532(__bool__)
     1256    0.001    0.000    0.001    0.000 /Users/user/Downloads/python_ds_piscine/day03/ex00/ldonita/lib/python3.9/site-packages/bs4/builder/__init__.py:205(can_be_empty_element)
