('Total Revenue', '184,903,000', '168,088,000', '143,015,000', '125,843,000', '110,360,000')
         170525 function calls (169719 primitive calls) in 0.982 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    29619    0.005    0.000    0.007    0.000 {built-in method builtins.isinstance}
     9405    0.010    0.000    0.010    0.000 {method 'match' of 're.Pattern' objects}
     6413    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
     6043    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
     5824    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
     5738    0.001    0.000    0.001    0.000 /Users/user/Downloads/python_ds_piscine/day03/ex00/ldonita/lib/python3.9/site-packages/bs4/element.py:1532(__bool__)
     5673    0.001    0.000    0.001    0.000 {method 'end' of 're.Match' objects}
     5589    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
     4894    0.003    0.000    0.004    0.000 /usr/local/Cellar/python@3.9/3.9.12/Frameworks/Python.framework/Versions/3.9/lib/python3.9/_markupbase.py:48(updatepos)
     4504    0.002    0.000    0.002    0.000 {method 'group' of 're.Match' objects}
     3735    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
3662/3652    0.001    0.000    0.001    0.000 {built-in method builtins.len}
     3647    0.003    0.000    0.003    0.000 {method 'search' of 're.Pattern' objects}
     3635    0.001    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
     3635    0.001    0.000    0.002    0.000 /usr/local/Cellar/python@3.9/3.9.12/Frameworks/Python.framework/Versions/3.9/lib/python3.9/abc.py:117(__instancecheck__)
     3107    0.001    0.000    0.001    0.000 /Users/user/Downloads/python_ds_piscine/day03/ex00/ldonita/lib/python3.9/site-packages/bs4/element.py:1906(descendants)
     2912    0.001    0.000    0.001    0.000 {method 'count' of 'str' objects}
     2515    0.002    0.000    0.007    0.000 /Users/user/Downloads/python_ds_piscine/day03/ex00/ldonita/lib/python3.9/site-packages/bs4/__init__.py:558(endData)
     2448    0.000    0.000    0.000    0.000 {method 'start' of 're.Match' objects}
2402/1648    0.004    0.000    0.010    0.000 /Users/user/Downloads/python_ds_piscine/day03/ex00/ldonita/lib/python3.9/site-packages/bs4/element.py:2192(_matches)
     2353    0.001    0.000    0.001    0.000 {built-in method builtins.next}
     2349    0.002    0.000    0.019    0.000 /Users/user/Downloads/python_ds_piscine/day03/ex00/ldonita/lib/python3.9/site-packages/bs4/element.py:2159(search)
     2346    0.001    0.000    0.002    0.000 /Users/user/Downloads/python_ds_piscine/day03/ex00/ldonita/lib/python3.9/site-packages/bs4/element.py:2059(_normalize_search_value)
     2104    0.003    0.000    0.003    0.000 /Users/user/Downloads/python_ds_piscine/day03/ex00/ldonita/lib/python3.9/site-packages/bs4/element.py:157(setup)
     1847    0.000    0.000    0.001    0.000 /usr/local/Cellar/python@3.9/3.9.12/Frameworks/Python.framework/Versions/3.9/lib/python3.9/html/__init__.py:122(unescape)
     1780    0.004    0.000    0.016    0.000 /Users/user/Downloads/python_ds_piscine/day03/ex00/ldonita/lib/python3.9/site-packages/bs4/element.py:2096(search_tag)
