('Total Revenue', '184,903,000', '168,088,000', '143,015,000', '125,843,000', '110,360,000')
         170389 function calls (169430 primitive calls) in 0.967 seconds

   Ordered by: internal time, call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      147    0.720    0.005    0.720    0.005 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.033    0.033    0.033    0.033 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.029    0.029    0.029    0.029 {method 'connect' of '_socket.socket' objects}
        1    0.021    0.021    0.021    0.021 {built-in method _socket.gethostbyname}
        1    0.011    0.011    0.011    0.011 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
     1255    0.011    0.000    0.055    0.000 /usr/local/Cellar/python@3.9/3.9.12/Frameworks/Python.framework/Versions/3.9/lib/python3.9/html/parser.py:300(parse_starttag)
     9418    0.009    0.000    0.009    0.000 {method 'match' of 're.Pattern' objects}
        2    0.008    0.004    0.092    0.046 /usr/local/Cellar/python@3.9/3.9.12/Frameworks/Python.framework/Versions/3.9/lib/python3.9/html/parser.py:133(goahead)
     1256    0.006    0.000    0.016    0.000 /Users/user/Downloads/python_ds_piscine/day03/ex00/ldonita/lib/python3.9/site-packages/bs4/element.py:1180(__init__)
        1    0.006    0.006    0.006    0.006 {built-in method _scproxy._get_proxy_settings}
      454    0.006    0.000    0.006    0.000 {built-in method __new__ of type object at 0x10fcac420}
       32    0.005    0.000    0.005    0.000 {method 'decompress' of 'zlib.Decompress' objects}
2402/1648    0.004    0.000    0.010    0.000 /Users/user/Downloads/python_ds_piscine/day03/ex00/ldonita/lib/python3.9/site-packages/bs4/element.py:2192(_matches)
    30088    0.004    0.000    0.006    0.000 {built-in method builtins.isinstance}
     1255    0.004    0.000    0.024    0.000 /Users/user/Downloads/python_ds_piscine/day03/ex00/ldonita/lib/python3.9/site-packages/bs4/__init__.py:694(handle_starttag)
     1780    0.004    0.000    0.015    0.000 /Users/user/Downloads/python_ds_piscine/day03/ex00/ldonita/lib/python3.9/site-packages/bs4/element.py:2096(search_tag)
     1188    0.004    0.000    0.019    0.000 /usr/local/Cellar/python@3.9/3.9.12/Frameworks/Python.framework/Versions/3.9/lib/python3.9/html/parser.py:385(parse_endtag)
     1255    0.004    0.000    0.030    0.000 /Users/user/Downloads/python_ds_piscine/day03/ex00/ldonita/lib/python3.9/site-packages/bs4/builder/_htmlparser.py:122(handle_starttag)
      950    0.003    0.000    0.007    0.000 /Users/user/Downloads/python_ds_piscine/day03/ex00/ldonita/lib/python3.9/site-packages/bs4/builder/__init__.py:295(_replace_cdata_list_attribute_values)
     1255    0.003    0.000    0.006    0.000 /Users/user/Downloads/python_ds_piscine/day03/ex00/ldonita/lib/python3.9/site-packages/bs4/__init__.py:660(_popToTag)
     1256    0.003    0.000    0.003    0.000 /Users/user/Downloads/python_ds_piscine/day03/ex00/ldonita/lib/python3.9/site-packages/bs4/__init__.py:544(pushTag)
     2104    0.003    0.000    0.003    0.000 /Users/user/Downloads/python_ds_piscine/day03/ex00/ldonita/lib/python3.9/site-packages/bs4/element.py:157(setup)
     4894    0.003    0.000    0.004    0.000 /usr/local/Cellar/python@3.9/3.9.12/Frameworks/Python.framework/Versions/3.9/lib/python3.9/_markupbase.py:48(updatepos)
     3658    0.003    0.000    0.003    0.000 {method 'search' of 're.Pattern' objects}
      809    0.002    0.000    0.002    0.000 {method 'findall' of 're.Pattern' objects}
     2349    0.002    0.000    0.019    0.000 /Users/user/Downloads/python_ds_piscine/day03/ex00/ldonita/lib/python3.9/site-packages/bs4/element.py:2159(search)
     1255    0.002    0.000    0.002    0.000 /Users/user/Downloads/python_ds_piscine/day03/ex00/ldonita/lib/python3.9/site-packages/bs4/__init__.py:530(popTag)
     2515    0.002    0.000    0.006    0.000 /Users/user/Downloads/python_ds_piscine/day03/ex00/ldonita/lib/python3.9/site-packages/bs4/__init__.py:558(endData)
     4506    0.002    0.000    0.002    0.000 {method 'group' of 're.Match' objects}
        1    0.002    0.002    0.002    0.002 /Users/user/Downloads/python_ds_piscine/day03/ex00/ldonita/lib/python3.9/site-packages/urllib3/connectionpool.py:483(close)
       36    0.002    0.000    0.023    0.001 /Users/user/Downloads/python_ds_piscine/day03/ex00/ldonita/lib/python3.9/site-packages/bs4/element.py:779(_find_all)
     2912    0.001    0.000    0.001    0.000 {method 'count' of 'str' objects}
     1255    0.001    0.000    0.005    0.000 /usr/local/Cellar/python@3.9/3.9.12/Frameworks/Python.framework/Versions/3.9/lib/python3.9/html/parser.py:351(check_for_whole_start_tag)
        1    0.001    0.001    0.001    0.001 /Users/user/Downloads/python_ds_piscine/day03/ex00/ldonita/lib/python3.9/site-packages/requests/models.py:845(text)
        1    0.001    0.001    0.001    0.001 {built-in method _socket.getaddrinfo}
     1255    0.001    0.000    0.012    0.000 /Users/user/Downloads/python_ds_piscine/day03/ex00/ldonita/lib/python3.9/site-packages/bs4/__init__.py:735(handle_endtag)
     6441    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
       33    0.001    0.000    0.006    0.000 /Users/user/Downloads/python_ds_piscine/day03/ex00/ldonita/lib/python3.9/site-packages/urllib3/response.py:85(decompress)
     5884    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
     1255    0.001    0.000    0.013    0.000 /Users/user/Downloads/python_ds_piscine/day03/ex00/ldonita/lib/python3.9/site-packages/bs4/builder/_htmlparser.py:177(handle_endtag)
     5894    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
     3659    0.001    0.000    0.002    0.000 /usr/local/Cellar/python@3.9/3.9.12/Frameworks/Python.framework/Versions/3.9/lib/python3.9/abc.py:117(__instancecheck__)
     3765    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
     2346    0.001    0.000    0.002    0.000 /Users/user/Downloads/python_ds_piscine/day03/ex00/ldonita/lib/python3.9/site-packages/bs4/element.py:2059(_normalize_search_value)
       56    0.001    0.000    0.086    0.002 {method 'read' of '_io.BufferedReader' objects}
     6159    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
      424    0.001    0.000    0.002    0.000 /Users/user/Downloads/python_ds_piscine/day03/ex00/ldonita/lib/python3.9/site-packages/bs4/__init__.py:592(object_was_parsed)
     3659    0.001    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
     5673    0.001    0.000    0.001    0.000 {method 'end' of 're.Match' objects}
    65/11    0.001    0.000    0.095    0.009 {method 'join' of 'bytes' objects}
     1255    0.001    0.000    0.001    0.000 /Users/user/Downloads/python_ds_piscine/day03/ex00/ldonita/lib/python3.9/site-packages/bs4/element.py:1317(is_empty_element)
     3107    0.001    0.000    0.001    0.000 /Users/user/Downloads/python_ds_piscine/day03/ex00/ldonita/lib/python3.9/site-packages/bs4/element.py:1906(descendants)
     5738    0.001    0.000    0.001    0.000 /Users/user/Downloads/python_ds_piscine/day03/ex00/ldonita/lib/python3.9/site-packages/bs4/element.py:1532(__bool__)
      424    0.001    0.000    0.002    0.000 /Users/user/Downloads/python_ds_piscine/day03/ex00/ldonita/lib/python3.9/site-packages/bs4/element.py:934(__new__)
     2355    0.001    0.000    0.001    0.000 {built-in method builtins.next}
      147    0.001    0.000    0.722    0.005 /usr/local/Cellar/python@3.9/3.9.12/Frameworks/Python.framework/Versions/3.9/lib/python3.9/socket.py:690(readinto)
     1256    0.001    0.000    0.001    0.000 /Users/user/Downloads/python_ds_piscine/day03/ex00/ldonita/lib/python3.9/site-packages/bs4/builder/__init__.py:205(can_be_empty_element)
3188/3158    0.001    0.000    0.001    0.000 {built-in method builtins.len}
      147    0.001    0.000    0.721    0.005 /usr/local/Cellar/python@3.9/3.9.12/Frameworks/Python.framework/Versions/3.9/lib/python3.9/ssl.py:1230(recv_into)
